"Station","Time [YYYY-MM-DD HH:MM:SS]","Air temperature [degC]","Air temperature Min [degC]","Air temperature Max [degC]","Air temperature FP-of-Data [%]"
46,2007-01-01 12:00:00,0.574635416667,-2.83,4.64,0.0
46,2007-01-02 12:00:00,0.403611111111,-1.87,3.72,0.0
46,2007-01-03 12:00:00,0.577274305556,-3.32,10.69,0.0
46,2007-01-04 12:00:00,1.11880208333,-1.4,4.54,0.0
46,2007-01-05 12:00:00,1.90817708333,-2.04,10.71,0.0
46,2007-01-06 12:00:00,3.59335069444,-0.65,13.1,0.0
46,2007-01-07 12:00:00,3.15758680556,-1.21,14.89,0.0
46,2007-01-08 12:00:00,1.5413493481,-2.18,10.59,0.0
46,2007-01-09 12:00:00,3.75490222801,-1.5803469233,10.877977623,0.346020761246
46,2007-01-10 12:00:00,4.77378472222,0.94,14.26,0.0
46,2007-01-11 12:00:00,6.34234375,1.12,16.67,0.0
46,2007-01-12 12:00:00,6.15734375,1.45,12.86,0.0
46,2007-01-13 12:00:00,4.55055555556,-0.7,17.95,0.0
46,2007-01-14 12:00:00,4.71041666667,-1.68,19.02,0.0
46,2007-01-15 12:00:00,2.07609375,-2.08,12.93,0.0
46,2007-01-16 12:00:00,0.207708333333,-3.9,9.06,0.0
46,2007-01-17 12:00:00,2.35161458333,-1.48,12.75,0.0
46,2007-01-18 12:00:00,5.08994791667,-2.0,10.94,0.0
46,2007-01-19 12:00:00,8.93085069444,5.01,12.97,0.0
46,2007-01-20 12:00:00,5.03638888889,2.37,7.88,0.0
46,2007-01-21 12:00:00,5.79791666667,-0.15,14.62,0.0
46,2007-01-22 12:00:00,3.99826388889,3.09,5.41,0.0
46,2007-01-23 12:00:00,1.55994791667,0.24,3.13,0.0
46,2007-01-24 12:00:00,0.398715277778,-1.65,2.63,0.0
46,2007-01-25 12:00:00,-1.36338541667,-3.39,3.65,0.0
46,2007-01-26 12:00:00,-3.36204861111,-7.25,0.55,0.0
46,2007-01-27 12:00:00,-1.61420138889,-7.62,5.25,0.0
46,2007-01-28 12:00:00,-0.42671875,-4.5,8.39,0.0
46,2007-01-29 12:00:00,4.06654513889,-3.32,10.56,0.0
46,2007-01-30 12:00:00,3.80088541667,-1.92,15.17,0.0
46,2007-01-31 12:00:00,1.41678819444,-3.12,10.25,0.0
46,2007-02-01 12:00:00,5.22901041667,-1.28,14.87,0.0
46,2007-02-02 12:00:00,2.64078125,-3.44,10.46,0.0
46,2007-02-03 12:00:00,4.02833333333,-1.03,12.46,0.0
46,2007-02-04 12:00:00,2.4975,-3.03,11.97,0.0
46,2007-02-05 12:00:00,2.25017361111,-4.49,13.95,0.0
46,2007-02-06 12:00:00,3.84927083333,-0.57,10.63,0.0
46,2007-02-07 12:00:00,4.18482638889,2.4,6.33,0.0
46,2007-02-08 12:00:00,7.10767361111,2.04,13.53,0.0
46,2007-02-09 12:00:00,6.35734375,0.42,13.26,0.0
46,2007-02-10 12:00:00,4.80737847222,-0.94,13.73,0.0
46,2007-02-11 12:00:00,3.47420138889,-0.68,9.48,0.0
46,2007-02-12 12:00:00,5.60767361111,-0.1,13.11,0.0
46,2007-02-13 12:00:00,6.82645833333,0.85,14.1,0.0
46,2007-02-14 12:00:00,5.59670138889,-0.79,14.35,0.0
46,2007-02-15 12:00:00,5.82170138889,0.84,13.68,0.0
46,2007-02-16 12:00:00,4.12572916667,-0.2,8.28,0.0
46,2007-02-17 12:00:00,2.04364583333,-1.92,8.4,0.0
46,2007-02-18 12:00:00,1.50836805556,-2.04,7.81,0.0
46,2007-02-19 12:00:00,1.17678819444,-2.58,8.87,0.0
46,2007-02-20 12:00:00,4.26454861111,-1.44,12.65,0.0
46,2007-02-21 12:00:00,3.34857638889,-1.78,9.88,0.0
46,2007-02-22 12:00:00,5.93133680556,2.83,11.76,0.0
46,2007-02-23 12:00:00,7.57161458333,3.92,13.19,0.0
46,2007-02-24 12:00:00,5.63362847222,3.25,8.21,0.0
46,2007-02-25 12:00:00,3.13333333333,1.62,5.1,0.0
46,2007-02-26 12:00:00,3.42864583333,0.44,6.73,0.0
46,2007-02-27 12:00:00,5.55407986111,1.08,11.89,0.0
46,2007-02-28 12:00:00,6.15588541667,1.88,11.93,0.0
46,2007-03-01 12:00:00,6.95217013889,1.11,15.47,0.0
46,2007-03-02 12:00:00,5.46078125,1.34,12.78,0.0
